album,phonetic_entropy,song,lexical_entropy,first_person_rate,phonetic_repetition_rate,repetition_rate,line_end_similarity,second_person_rate,artist,third_person_rate
social_cues,3.915504274784175,skin_and_bones,6.2474,111.455,0.5777777777777777,0.4,0.5333,0.0,cage_the_elephant,3.096
social_cues,3.02285018966951,social_cues,5.8525,67.606,0.7073170731707317,0.4878,0.6585,33.803,cage_the_elephant,2.817
social_cues,3.5212637330165686,the-war-is-over,6.0307,47.319,0.6,0.3714,0.5429,72.555,cage_the_elephant,3.155
social_cues,4.6627418891747725,tokyo-smoke,6.6634,61.644,0.4915254237288136,0.2542,0.4576,61.644,cage_the_elephant,0.0
social_cues,2.9591479170272446,what-im-becoming,5.4511,120.192,0.625,0.4167,0.5833,72.115,cage_the_elephant,0.0
tell_me_im_pretty,2.5766403782119998,cold_cold_cold,5.7815,114.286,0.7222222222222222,0.4167,0.6667,28.571,cage_the_elephant,0.0
tell_me_im_pretty,3.470901425892443,cry_baby,6.028,14.706,0.6304347826086957,0.4348,0.5652,98.039,cage_the_elephant,0.0
tell_me_im_pretty,3.95729587384057,how_are_you_true,6.5277,45.802,0.45714285714285713,0.1143,0.3429,72.519,cage_the_elephant,11.45
tell_me_im_pretty,1.9680913482588627,mess_around,4.6737,9.662,0.8536585365853658,0.6829,0.7561,14.493,cage_the_elephant,77.295
tell_me_im_pretty,1.696088412815911,portuguese_knife_fight,5.8686,136.029,0.8076923076923077,0.2308,0.6154,62.5,cage_the_elephant,0.0
tell_me_im_pretty,3.3373092111357265,punchin_bag,5.9095,45.455,0.6388888888888888,0.3889,0.6111,83.333,cage_the_elephant,45.455
tell_me_im_pretty,3.7720804237685592,sweetie_little_jean,6.4814,80.46,0.5384615384615384,0.2308,0.3333,72.797,cage_the_elephant,3.831
tell_me_im_pretty,3.0697738350294776,thats_right,5.6411,53.922,0.5833333333333334,0.3333,0.5833,29.412,cage_the_elephant,9.804
tell_me_im_pretty,3.185058552240839,too_late_to_say_goodbye,6.3585,59.659,0.717948717948718,0.4615,0.641,25.568,cage_the_elephant,0.0
tell_me_im_pretty,2.155669986426192,trouble,5.5525,129.45,0.803921568627451,0.6667,0.7059,35.599,cage_the_elephant,3.236
thank_you_happy_birthday,3.273899545624595,2024,5.9867,24.631,0.5945945945945946,0.4,0.525,83.744,cage_the_elephant,0.0
thank_you_happy_birthday,3.3648207264729817,aberdeen,5.0734,47.059,0.6363636363636364,0.5152,0.6061,23.529,cage_the_elephant,0.0
thank_you_happy_birthday,3.9788500812712257,always_something,5.994,67.308,0.4883720930232558,0.2791,0.4651,67.308,cage_the_elephant,9.615
thank_you_happy_birthday,3.5422158908263457,around_my_head,5.8119,98.413,0.6491228070175439,0.3793,0.5517,44.444,cage_the_elephant,3.175
thank_you_happy_birthday,2.9360968613550265,flow,4.8272,19.108,0.6410256410256411,0.6154,0.641,0.0,cage_the_elephant,0.0
